,disposition,period,time0bk,impact,duration,depth,ror,srho,prad,sma,incl,teq,insol,dor,ldm_coeff2,ldm_coeff1,count,tce_plnt_num,steff,slogg,smet,srad,smass,ra,dec,kepmag,hmag
0,CANDIDATE,2.945944348088256,5.832118320026971,0.14548622381213783,1.804920407560988,7.116070075315634,0.022342141194429996,1.8822351669275306,1.5542118217085754,0.0853,89.66,793.0,5.232099261291171,3.9047998810710784,0.2291,0.4603,2,1.0,5455.0,4.467,0.14,0.8288016321995232,0.919,291.93423,48.141651,15.347,13.751
1,CANDIDATE,4.689933604592675,5.7839198136425685,0.556782985435056,2.2108650974174457,7.467142796042332,0.027950360615339963,1.8259082527985733,1.7632713362498338,0.2734,89.57,443.0,2.905518705898819,5.048614327843842,0.2291,0.4603,2,2.0,5455.0,4.467,0.14,0.8288016321995232,0.919,291.93423,48.141651,15.347,13.751
2,CANDIDATE,3.6844544474539425,5.862788056936279,0.8592825272945869,1.341763495131589,9.983130182320208,0.15344315925328744,2.6850760382603847,3.375339479269934,0.1419,88.96,638.0,4.36453352587766,4.6729161668935255,0.2711,0.3858,1,1.0,5853.0,4.544,-0.18,0.7848915437911186,0.961,297.00482,48.134129,15.436,13.9
3,FALSE POSITIVE,1.3194061217996698,5.830761808042099,1.0637326771901383,1.6119004956439822,9.690195321102332,0.3783056624174765,0.21904415736317062,4.203721101059433,0.0267,67.09,1395.0,7.486568783316161,1.9028742968104495,0.2865,0.3556,1,1.0,5805.0,4.564,-0.52,0.7256250001642788,0.836,285.53461,48.28521,15.597,13.911
4,CANDIDATE,1.6566939818627813,5.838295925164886,0.6534856055646602,1.2775191150522065,7.095562452874071,0.02406167812379779,1.4375142911750218,1.7362775864618003,0.0374,85.41,1406.0,7.524194477909914,2.8654503087817615,0.2844,0.3661,1,1.0,6031.0,4.438,0.07,0.9135293538406888,1.095,288.75488,48.2262,15.509,14.064
5,CANDIDATE,3.1016054684599523,5.835994949395931,0.5149392775354877,2.229645148502915,8.017966812056775,0.03677071324933366,0.6306061626039479,2.0701692399277114,0.0992,88.11,835.0,5.436444734336981,3.4889192628160894,0.2889,0.3511,3,1.0,6046.0,4.486,-0.08,0.8614353644922487,1.053,296.28613,48.22467,15.714,14.113
6,CANDIDATE,2.126812477172032,5.846327874382316,0.702719545114204,1.8618732462892107,7.224025339526642,0.02613002639607538,0.365572686641122,1.7430905837687796,0.0514,83.72,1160.0,6.751453651566751,2.6384480088458475,0.2889,0.3511,3,2.0,6046.0,4.486,-0.08,0.8614353644922487,1.053,296.28613,48.22467,15.714,14.113
7,CANDIDATE,1.6716816838270858,5.883632993867324,0.6971423814362352,1.620534697049578,6.115896998528029,0.014982439466956874,0.4714323949759067,1.2436713996507454,0.0374,82.17,1360.0,7.387387788294311,2.413189471423671,0.2889,0.3511,3,3.0,6046.0,4.486,-0.08,0.8614353644922487,1.053,296.28613,48.22467,15.714,14.113
8,FALSE POSITIVE,2.6940315295039645,5.577859552261878,0.9959751320700294,2.316743794453848,6.1471899995125225,0.18237434342794062,0.00484998098618043,4.362241566869043,0.082,60.92,1342.0,7.335921197328328,1.6094379124341003,0.305,0.3201,1,1.0,6227.0,3.986,0.0,1.4246931669999818,1.358,298.86435,42.151569,12.66,11.415
9,CANDIDATE,3.470983979622102,5.850035633272657,0.05197659380282396,1.9752098601528658,9.19305179219046,0.06212103786747387,2.0103252389267174,2.451536089318317,0.1158,89.92,600.0,4.119301462906469,4.30018685313721,0.1451,0.582,3,1.0,5031.0,4.485,0.16,0.7697128025857588,0.801,286.99948,48.37579,15.841,13.868
10,CANDIDATE,1.636261585631006,5.503421920324226,0.7466622691001784,1.3225140968281743,10.256325144478042,0.12355638758849331,1.3674948365000557,3.262635733715235,0.0354,84.41,1339.0,7.328385254777098,2.8246313606829605,0.2676,0.3928,1,1.0,5820.0,4.457,-0.06,0.8556872851271122,0.971,286.80847,49.316399,11.338,9.92
11,CANDIDATE,1.531618278656927,5.491913473371413,0.222167837223141,2.0673438333209844,9.499226724609635,0.07545039276899143,0.3708040664249712,3.472929529196127,0.0376,87.21,2048.0,9.02375053347573,2.231238950120608,0.3168,0.2958,1,1.0,6440.0,4.019,0.14,1.4219608146203606,1.449,292.24728,47.969521,10.463,9.344
12,CANDIDATE,1.9718829687826778,5.48994124596101,0.5952248120123721,1.8793951879706432,9.814186286004258,0.09195634850782619,0.6143574128723192,3.3746559157155946,0.0473,85.2,1521.0,7.835713834433501,2.717869516713017,0.305,0.3201,1,1.0,6225.0,4.169,-0.04,1.1672719311889217,1.132,281.28812,42.45108,13.563,12.324
13,CANDIDATE,2.0216619135775806,5.590875376371929,0.05097791733690163,1.6945298041587415,5.569122116712214,0.010423811230979236,1.3379943130371124,0.9901117287927003,0.0465,89.73,1206.0,6.908675854202563,3.082910646930966,0.2622,0.4035,2,2.0,5833.0,4.407,-0.04,0.8968446925198801,0.974,295.64871,48.49556,12.772,11.402
